date,year,month,county,rainfall_mm
1981-01-01,1981,1,Baringo,2.9050474979938605
1981-02-01,1981,2,Baringo,6.556596119587238
1981-03-01,1981,3,Baringo,78.40887636037974
1981-04-01,1981,4,Baringo,85.38687382233448
1981-05-01,1981,5,Baringo,38.40704666773478
1981-06-01,1981,6,Baringo,28.06895948801285
1981-07-01,1981,7,Baringo,71.2552840746366
1981-08-01,1981,8,Baringo,63.69051944047977
1981-09-01,1981,9,Baringo,32.25817199609219
1981-10-01,1981,10,Baringo,14.716029569774102
1981-11-01,1981,11,Baringo,13.23483268389335
1981-12-01,1981,12,Baringo,10.802291104732415
1982-01-01,1982,1,Baringo,8.401124829512376
1982-02-01,1982,2,Baringo,8.30059126095894
1982-03-01,1982,3,Baringo,16.779499046619122
1982-04-01,1982,4,Baringo,70.89470348847217
1982-05-01,1982,5,Baringo,86.48773500491411
1982-06-01,1982,6,Baringo,19.720105731181608
1982-07-01,1982,7,Baringo,29.734801524724716
1982-08-01,1982,8,Baringo,59.312591586968836
1982-09-01,1982,9,Baringo,17.063008785859132
1982-10-01,1982,10,Baringo,40.85800154805183
1982-11-01,1982,11,Baringo,69.03158022684929
1982-12-01,1982,12,Baringo,28.331105119754106
1983-01-01,1983,1,Baringo,4.7365371630742
1983-02-01,1983,2,Baringo,18.252521281364636
1983-03-01,1983,3,Baringo,8.485376058480679
1983-04-01,1983,4,Baringo,37.97234137852987
1983-05-01,1983,5,Baringo,43.793912542783296
1983-06-01,1983,6,Baringo,44.41637480809138
1983-07-01,1983,7,Baringo,58.89227617703951
1983-08-01,1983,8,Baringo,103.20180027301495
1983-09-01,1983,9,Baringo,35.456375435071116
1983-10-01,1983,10,Baringo,37.19108640742608
1983-11-01,1983,11,Baringo,18.972991701272818
1983-12-01,1983,12,Baringo,22.12835930066231
1984-01-01,1984,1,Baringo,3.5933851981774354
1984-02-01,1984,2,Baringo,3.0182284330710387
1984-03-01,1984,3,Baringo,8.258784424952971
1984-04-01,1984,4,Baringo,25.401485311068022
1984-05-01,1984,5,Baringo,10.608706399721976
1984-06-01,1984,6,Baringo,15.871509038485014
1984-07-01,1984,7,Baringo,41.635771555778305
1984-08-01,1984,8,Baringo,21.338096974446223
1984-09-01,1984,9,Baringo,20.78551461146428
1984-10-01,1984,10,Baringo,18.169224452895996
1984-11-01,1984,11,Baringo,30.000021797265763
1984-12-01,1984,12,Baringo,14.17552561270885
1985-01-01,1985,1,Baringo,7.4748281558354694
1985-02-01,1985,2,Baringo,12.2528459133246
1985-03-01,1985,3,Baringo,42.3324593764085
1985-04-01,1985,4,Baringo,92.15955618833884
1985-05-01,1985,5,Baringo,70.2908288368812
1985-06-01,1985,6,Baringo,39.25212885538737
1985-07-01,1985,7,Baringo,58.682734137315016
1985-08-01,1985,8,Baringo,31.046103096008302
1985-09-01,1985,9,Baringo,12.003936525491568
1985-10-01,1985,10,Baringo,10.499194411895214
